Date,Open,High,Low,Close,Volume
2011-09-20,26.02,26.15,25.24,25.30,10175863
2011-09-21,25.30,25.51,24.38,24.38,12216167
2011-09-22,23.35,23.55,22.36,22.74,27178576
2011-09-23,22.56,23.19,22.38,22.65,17683864
2011-09-26,23.03,23.50,22.29,23.50,14335648
2011-09-27,24.18,24.47,23.37,23.57,13752878
2011-09-28,23.59,23.71,22.38,22.41,15053620
2011-09-29,23.05,23.12,22.04,22.63,15035245
2011-09-30,22.33,22.49,21.50,21.52,16733381
2011-10-03,21.16,21.21,19.91,20.02,23960904
2011-10-04,19.55,20.60,19.01,20.51,22194768
2011-10-05,20.60,21.28,20.29,21.07,18885632
2011-10-06,21.32,22.49,20.65,22.22,30990820
2011-10-07,22.92,23.03,21.39,21.84,19957840
2011-10-10,22.56,22.76,22.29,22.69,13156714
2011-10-11,22.56,23.48,22.33,23.17,24506958
2011-10-12,22.33,23.18,21.88,22.60,48825064
2011-10-13,22.49,22.83,22.00,22.72,18918684
2011-10-14,23.14,23.44,22.58,23.08,16980156
2011-10-17,23.21,23.23,21.48,21.55,25180748
2011-10-18,21.84,22.94,21.48,22.81,21394718
2011-10-19,22.65,22.72,21.88,21.97,15727331
2011-10-20,22.31,22.56,21.88,22.38,16292117
2011-10-21,22.78,23.01,22.60,23.01,12745541
2011-10-24,23.23,23.98,23.05,23.80,16313608
2011-10-25,23.71,23.75,22.78,22.81,14130446
2011-10-26,23.28,23.48,22.69,23.30,12847907
2011-10-27,24.56,25.82,24.54,25.51,27806112
2011-10-28,25.28,26.23,25.15,26.02,14484366
2011-10-31,25.51,25.51,24.20,24.20,17407712
2011-11-01,22.99,24.10,22.60,23.39,20512488
2011-11-02,23.95,24.25,23.62,24.07,12382650
2011-11-03,24.43,24.58,23.75,24.45,11865917
2011-11-04,24.34,24.72,23.84,24.58,11113606
2011-11-07,24.43,24.79,23.80,24.18,14976108
2011-11-08,24.36,24.43,23.82,24.25,14729783
2011-11-09,23.46,23.63,22.85,22.94,15173080
2011-11-10,23.28,23.41,22.78,23.05,10193099
2011-11-11,23.21,23.95,23.21,23.84,10073511
2011-11-14,23.68,23.91,23.19,23.35,10254597
2011-11-15,23.14,23.52,22.92,23.30,10944029
2011-11-16,23.01,23.11,22.38,22.42,15404077
2011-11-17,22.58,22.72,21.55,21.64,17500146
2011-11-18,21.95,22.18,21.61,21.79,9927965
2011-11-21,21.43,21.56,20.85,21.30,14799632
2011-11-22,21.32,21.41,20.65,20.83,12985558
2011-11-23,20.47,20.58,19.95,19.97,16023212
2011-11-25,20.11,20.42,20.02,20.13,5801572
2011-11-28,21.10,21.51,20.94,21.28,13989423
2011-11-29,21.34,21.41,20.83,20.94,9406928
2011-11-30,21.82,22.54,21.79,22.54,16749984
2011-12-01,22.33,22.45,21.82,22.06,9649278
2011-12-02,22.45,22.67,22.24,22.29,11423330
2011-12-05,22.56,22.74,22.29,22.49,14657856
2011-12-06,22.33,22.56,22.18,22.31,9476385
2011-12-07,22.18,22.38,21.95,22.27,9342918
2011-12-08,22.11,22.20,21.19,21.30,13367976
2011-12-09,21.39,21.77,21.32,21.68,9988139
2011-12-12,21.32,21.37,20.74,21.03,9506043
2011-12-13,21.16,21.28,20.20,20.33,11282201
2011-12-14,20.22,20.60,19.95,20.11,19519138
2011-12-15,20.42,20.47,19.64,19.75,20077920
2011-12-16,20.00,20.18,19.61,19.82,18320620
2011-12-19,19.82,19.82,19.12,19.19,11445859
2011-12-20,19.39,20.02,19.39,19.97,15757721
2011-12-21,19.93,20.15,19.73,19.91,11685264
2011-12-22,20.06,20.22,19.79,20.03,14437636
2011-12-23,20.13,20.18,19.86,19.93,8257167
2011-12-27,19.88,20.11,19.73,19.77,8308051
2011-12-28,19.75,19.75,19.12,19.16,11633326
2011-12-29,19.28,19.50,19.23,19.41,7982143
2011-12-30,19.37,19.46,19.28,19.46,8254926
2012-01-03,20.11,20.85,20.00,20.76,20947252
2012-01-04,20.53,21.37,20.53,21.25,18359048
2012-01-05,20.98,21.32,20.67,21.05,12092112
2012-01-06,20.42,20.80,20.42,20.60,15646604
2012-01-09,20.83,21.32,20.74,21.20,25239976
2012-01-10,21.82,22.15,21.10,21.23,28543000
2012-01-11,21.28,21.75,21.05,21.66,12750805
2012-01-12,22.09,22.42,21.55,22.33,16043713
2012-01-13,22.11,22.20,21.70,22.04,14537264
2012-01-17,22.42,22.56,21.82,21.95,10794763
2012-01-18,22.04,22.56,21.95,22.54,11343685
2012-01-19,22.67,23.02,22.60,22.90,12512433
2012-01-20,22.81,22.96,22.63,22.87,10384273
2012-01-23,22.96,23.21,22.81,23.05,12730239
2012-01-24,22.83,23.17,22.60,23.10,9214024
2012-01-25,22.96,23.62,22.67,23.57,13401788
2012-01-26,23.98,24.16,23.05,23.30,12075331
2012-01-27,23.08,23.55,22.90,23.46,9659634
2012-01-30,23.14,23.44,22.99,23.21,8582761
2012-01-31,23.50,23.53,22.72,22.85,11159362
2012-02-01,23.10,23.23,22.87,22.94,11228080
2012-02-02,23.21,23.55,23.08,23.44,10819533
2012-02-03,23.80,24.27,23.62,24.20,15954920
2012-02-06,23.95,24.20,23.84,24.14,8297502
2012-02-07,24.07,24.20,23.86,24.00,10516168
2012-02-08,24.18,24.56,23.86,24.00,12005431
2012-02-09,24.11,24.25,23.68,23.93,9095632
2012-02-10,23.53,23.53,22.99,23.14,10321637
2012-02-13,23.41,23.50,23.14,23.23,8469390
2012-02-14,23.08,23.10,22.72,22.96,10996799
2012-02-15,23.17,23.17,22.72,22.72,11954070
2012-02-16,22.78,23.17,22.56,23.12,8992910
2012-02-17,23.32,23.37,22.72,22.83,8805976
2012-02-21,23.03,23.62,22.94,23.41,13255117
2012-02-22,23.50,23.57,23.10,23.35,10162126
2012-02-23,23.35,23.58,23.17,23.53,8106925
2012-02-24,23.53,23.77,23.41,23.46,8454594
2012-02-27,23.28,23.41,23.08,23.21,6918212
2012-02-28,23.30,23.48,23.17,23.32,8033839
2012-02-29,23.35,23.62,22.83,22.87,10918256
2012-03-01,23.05,23.17,22.85,23.10,9110507
2012-03-02,23.05,23.21,22.90,23.03,9978607
2012-03-05,22.85,22.87,22.11,22.20,13236195
2012-03-06,21.77,21.77,21.28,21.30,15096707
2012-03-07,21.48,21.59,21.25,21.48,10236137
2012-03-08,21.79,22.11,21.52,21.97,8650206
2012-03-09,22.06,22.47,21.95,22.06,9534376
2012-03-12,22.13,22.40,22.04,22.20,9422413
2012-03-13,22.49,23.30,22.38,23.19,17898862
2012-03-14,23.26,23.35,22.96,23.12,12890475
2012-03-15,23.08,23.35,22.87,23.28,12006000
2012-03-16,23.39,23.89,23.35,23.71,13756606
2012-03-19,23.64,24.18,23.64,23.84,8371051
2012-03-20,23.53,23.62,23.10,23.48,9531503
2012-03-21,23.48,23.50,23.05,23.10,8021831
2012-03-22,22.87,22.92,22.38,22.51,12753928
2012-03-23,22.51,23.08,22.40,22.74,8900695
2012-03-26,23.05,23.17,22.76,22.99,6125418
2012-03-27,23.05,23.19,22.63,22.63,8534239
2012-03-28,22.63,22.63,22.02,22.11,16199298
2012-03-29,21.97,22.68,21.93,22.56,12875352
2012-03-30,22.78,22.83,22.44,22.54,8961610
2012-04-02,22.33,23.03,22.33,22.87,8307987
2012-04-03,22.74,22.90,22.42,22.63,13400998
2012-04-04,22.24,22.47,21.95,22.06,10946704
2012-04-05,21.97,22.24,21.55,21.66,10911904
2012-04-09,21.39,21.86,21.28,21.59,10529399
2012-04-10,21.64,21.70,20.94,20.96,20415948
2012-04-11,22.35,22.83,22.22,22.27,35519336
2012-04-12,22.47,23.03,22.40,22.87,16717588
2012-04-13,22.67,22.78,22.09,22.15,11978413
2012-04-16,22.36,22.38,21.88,22.18,11977368
2012-04-17,22.29,22.65,22.27,22.47,9075244
2012-04-18,22.36,22.65,22.24,22.38,10620740
2012-04-19,22.38,22.51,21.82,21.95,14662885
2012-04-20,22.15,22.33,21.75,21.82,8850479
2012-04-23,21.46,21.75,21.30,21.66,9532798
2012-04-24,21.66,21.95,21.59,21.73,6645361
2012-04-25,21.97,22.18,21.75,22.09,9030484
2012-04-26,21.97,22.24,21.86,22.18,7845930
2012-04-27,22.20,22.27,21.82,21.93,8558781
2012-04-30,21.82,22.02,21.68,21.88,7282351
2012-05-01,21.91,22.51,21.75,22.42,12349271
2012-05-02,22.15,22.22,21.77,21.88,8091760
2012-05-03,21.95,21.97,21.48,21.55,8081722
2012-05-04,21.37,21.41,21.01,21.07,7805269
2012-05-07,20.94,21.16,20.69,20.98,8017805
2012-05-08,20.78,20.87,20.31,20.71,11172508
2012-05-09,20.40,20.85,20.24,20.58,10243713
2012-05-10,20.76,20.80,20.31,20.47,7933407
2012-05-11,20.22,20.65,20.22,20.38,7347781
2012-05-14,20.18,20.51,20.06,20.06,8358936
2012-05-15,20.11,20.27,19.52,19.59,12355802
2012-05-16,19.70,19.97,19.07,19.10,13442620
2012-05-17,19.16,19.59,18.94,19.12,15541399
2012-05-18,19.23,19.52,18.85,18.96,11986580
2012-05-21,19.10,19.37,19.01,19.34,6740768
2012-05-22,19.48,19.64,18.92,19.10,11015259
2012-05-23,18.89,19.37,18.69,19.37,10786846
2012-05-24,19.37,19.43,18.96,19.41,10536080
2012-05-25,19.21,19.50,19.21,19.41,6790965
2012-05-29,19.75,20.06,19.68,20.00,11447360
2012-05-30,19.70,19.76,19.19,19.30,8285586
2012-05-31,19.30,19.39,18.87,19.23,11465016
2012-06-01,18.87,19.07,18.65,18.67,10962461
2012-06-04,18.60,18.87,18.47,18.87,10125746
2012-06-05,18.94,19.16,18.71,19.01,7353697
2012-06-06,19.21,19.50,18.83,19.42,7567649
2012-06-07,19.79,20.04,19.16,19.23,10284645
2012-06-08,19.05,19.21,18.78,19.16,7407168
2012-06-11,19.37,19.52,18.69,18.70,7690461
2012-06-12,18.78,19.16,18.76,19.16,8041750
2012-06-13,18.96,19.37,18.92,19.07,8051553
2012-06-14,19.07,19.48,18.94,19.46,8614069
2012-06-15,19.64,19.84,19.46,19.84,7540881
2012-06-18,19.66,19.73,19.39,19.55,6244539
2012-06-19,19.64,20.11,19.59,20.02,7211231
2012-06-20,19.97,20.24,19.86,20.06,9492733
2012-06-21,19.97,20.00,19.16,19.23,9993311
2012-06-22,19.28,19.48,19.12,19.39,11469363
2012-06-25,19.12,19.12,18.80,18.87,8542213
2012-06-26,18.94,19.12,18.71,18.87,11354120
2012-06-27,18.94,19.32,18.62,19.19,11099777
2012-06-28,18.94,19.16,18.78,19.14,7322011
2012-06-29,19.52,19.68,19.32,19.68,11835598
2012-07-02,19.66,19.73,19.32,19.40,9494974
2012-07-03,19.57,20.24,19.55,20.02,7797152
2012-07-05,19.95,20.38,19.88,20.06,8417147
2012-07-06,19.77,19.77,19.37,19.62,11217481
2012-07-09,19.43,19.73,19.28,19.70,15741374
2012-07-10,19.84,19.97,18.76,18.89,25409894
2012-07-11,18.80,18.94,18.67,18.78,11723528
2012-07-12,18.62,18.85,18.47,18.67,11982475
2012-07-13,18.78,18.96,18.60,18.94,8343606
2012-07-16,18.92,18.94,18.67,18.74,6764962
2012-07-17,18.89,18.89,18.49,18.62,15348000
2012-07-18,18.60,18.87,18.49,18.74,7489669
2012-07-19,18.78,18.98,18.74,18.85,7353688
2012-07-20,18.69,18.83,18.56,18.58,6156794
2012-07-23,18.31,18.33,18.04,18.31,9002555
2012-07-24,18.29,18.38,17.93,18.04,12293231
2012-07-25,18.15,18.29,17.92,18.04,10425397
2012-07-26,18.33,18.44,18.02,18.42,9572378
2012-07-27,18.49,19.16,18.33,19.01,12158589
2012-07-30,19.05,19.07,18.67,19.01,6295772
2012-07-31,18.96,19.16,18.89,19.05,6630653
2012-08-01,19.10,19.30,18.83,18.96,12624323
2012-08-02,18.71,18.92,18.22,18.40,9613062
2012-08-03,18.69,19.01,18.58,18.83,6506727
2012-08-06,18.87,19.28,18.85,19.12,8045705
2012-08-07,19.21,19.43,19.12,19.34,6504885
2012-08-08,19.23,19.79,19.14,19.79,9437602
2012-08-09,19.77,20.04,19.73,19.93,7512817
2012-08-10,19.73,20.20,19.52,20.20,8100878
2012-08-13,20.04,20.18,19.79,19.86,4790713
2012-08-14,20.00,20.09,19.41,19.55,5378175
2012-08-15,19.48,19.70,19.41,19.64,3848777
2012-08-16,19.59,19.86,19.55,19.73,4874057
2012-08-17,19.70,19.91,19.57,19.68,4834747
2012-08-20,19.66,19.86,19.55,19.79,4023701
2012-08-21,19.86,20.13,19.79,19.84,6147412
2012-08-22,19.73,19.95,19.50,19.95,5917154
2012-08-23,19.79,19.84,19.39,19.41,5600180
2012-08-24,19.37,19.52,19.23,19.41,4637433
2012-08-27,19.50,19.52,19.03,19.07,5270962
2012-08-28,19.05,19.28,19.01,19.12,4594049
2012-08-29,19.16,19.32,19.01,19.21,5644797
2012-08-30,19.05,19.12,18.87,18.98,4414550
2012-08-31,19.19,19.34,18.96,19.25,7518970
2012-09-04,19.25,19.25,18.92,18.94,5260583
2012-09-05,18.96,19.23,18.89,19.16,5347528
2012-09-06,19.32,19.79,19.32,19.70,6147900
2012-09-07,19.86,20.47,19.86,20.47,11618359
2012-09-10,20.42,20.94,20.31,20.36,13161849
2012-09-11,20.51,21.14,20.45,20.98,9125495
2012-09-12,21.23,21.28,20.66,21.03,8253289
2012-09-13,20.96,21.77,20.92,21.66,13200370
2012-09-14,22.04,22.33,22.00,22.13,13211418
2012-09-17,21.86,22.02,21.50,21.55,8369179
2012-09-18,21.21,21.59,20.98,21.34,9391312
2012-09-19,21.61,21.70,21.30,21.30,6874756
2012-09-20,21.07,21.16,20.65,20.80,9279628
2012-09-21,21.01,21.07,20.47,20.53,10187700
2012-09-24,20.36,20.53,20.29,20.38,6956734
2012-09-25,20.58,20.67,19.82,19.88,10323394
2012-09-26,19.77,20.20,19.46,20.00,11400026
2012-09-27,20.00,20.28,19.84,20.21,8221953
2012-09-28,20.04,20.13,19.88,19.92,6720940
2012-10-01,20.11,20.40,19.93,20.04,7565821
2012-10-02,20.18,20.22,19.77,19.91,6119451
2012-10-03,19.95,20.02,19.61,19.75,6475175
2012-10-04,19.88,20.49,19.82,20.40,10858530
2012-10-05,20.71,21.01,20.31,20.45,8580392
2012-10-08,20.29,20.74,20.24,20.51,6337929
2012-10-09,20.67,20.80,20.45,20.53,14308224
2012-10-10,20.36,20.38,19.48,19.59,21417738
2012-10-11,19.75,19.97,19.59,19.73,6937125
2012-10-12,19.75,19.93,19.48,19.55,6846988
2012-10-15,19.61,19.82,19.41,19.79,6500158
2012-10-16,19.86,20.18,19.82,20.11,7442864
2012-10-17,20.29,20.74,20.18,20.65,7288302
2012-10-18,20.49,20.85,20.40,20.71,7001089
2012-10-19,20.65,20.69,19.46,20.27,7037500
2012-10-22,20.20,20.58,20.15,20.47,7077506
2012-10-23,20.09,20.11,19.75,19.75,10418838
2012-10-24,19.91,20.05,19.52,19.57,8999994
2012-10-25,19.70,19.82,19.46,19.64,5410616
2012-10-26,19.57,19.77,19.41,19.46,6321960
2012-10-31,19.50,19.59,19.25,19.28,7146877
2012-11-01,19.39,19.82,19.32,19.68,7961087
2012-11-02,19.82,19.84,19.39,19.46,6064152
2012-11-05,19.34,19.57,19.32,19.37,7405259
2012-11-06,19.50,19.79,19.39,19.66,8820971
2012-11-07,19.37,19.41,19.05,19.07,11001856
2012-11-08,19.10,19.25,18.67,18.87,8263434
2012-11-09,18.76,19.28,18.71,18.96,8108533
2012-11-12,18.96,19.07,18.85,18.96,3816702
2012-11-13,18.80,18.98,18.67,18.69,4945704
2012-11-14,18.74,18.80,18.22,18.29,6302508
2012-11-15,18.24,18.42,18.04,18.11,6586055
2012-11-16,18.20,18.44,17.95,18.40,10190902
2012-11-19,18.60,18.78,18.47,18.76,6496002
2012-11-20,18.67,18.69,18.31,18.56,6284206
2012-11-21,18.60,18.71,18.49,18.60,3828486
2012-11-23,18.74,18.78,18.58,18.78,3477411
2012-11-26,18.74,18.78,18.56,18.68,5322638
2012-11-27,18.67,18.94,18.61,18.62,4803316
2012-11-28,18.47,18.92,18.35,18.89,7773861
2012-11-29,19.03,19.12,18.78,18.89,6001137
2012-11-30,18.92,19.01,18.71,18.92,5432406
2012-12-03,19.01,19.01,18.78,18.92,6068369
2012-12-04,18.83,19.10,18.78,18.94,4890899
2012-12-05,18.98,19.39,18.96,19.28,7687671
2012-12-06,19.25,19.34,19.07,19.28,5297208
2012-12-07,19.28,19.32,19.01,19.12,5409734
2012-12-10,19.03,19.34,19.03,19.28,5288306
2012-12-11,19.30,19.61,19.23,19.52,7650916
2012-12-12,19.59,19.61,19.37,19.46,6392956
2012-12-13,19.43,19.59,19.25,19.32,5423116
2012-12-14,19.34,19.68,19.32,19.66,5908609
2012-12-17,19.73,19.77,19.39,19.68,7279655
2012-12-18,19.68,20.04,19.68,20.04,8330239
2012-12-19,19.88,19.91,19.39,19.43,12190558
2012-12-20,19.41,19.57,19.34,19.57,6621800
2012-12-21,19.46,19.48,19.14,19.28,8484079
2012-12-24,19.19,19.43,19.16,19.39,3585409
2012-12-26,19.43,19.79,19.43,19.64,6418744
2012-12-27,19.68,19.70,19.19,19.39,7312410
2012-12-28,19.28,19.34,19.10,19.12,4471936
2012-12-31,19.16,19.55,19.07,19.52,8600588
2013-01-02,19.97,20.22,19.87,20.22,9357921
2013-01-03,20.18,20.58,20.13,20.40,9918325
2013-01-04,20.49,20.87,20.47,20.83,8156436
2013-01-07,20.87,20.89,20.47,20.47,9685721
2013-01-08,20.60,20.67,20.41,20.47,15153120
2013-01-09,20.98,20.98,20.38,20.42,18579808
2013-01-10,20.51,20.51,20.06,20.18,12876014
2013-01-11,20.29,20.29,20.00,20.11,8775955
2013-01-14,20.20,20.29,20.00,20.06,8323032
2013-01-15,19.95,20.13,19.93,20.06,5865592
2013-01-16,19.97,20.06,19.88,19.97,5846017
2013-01-17,20.06,20.22,20.02,20.11,7939945
2013-01-18,20.18,20.29,20.04,20.24,9881426
2013-01-22,20.31,20.74,20.15,20.69,10239239
2013-01-23,20.74,20.79,20.47,20.58,5292658
2013-01-24,20.58,20.69,20.27,20.33,5986056
2013-01-25,20.40,20.42,20.24,20.31,5786452
2013-01-28,20.40,20.45,19.95,20.02,7212597
2013-01-29,20.11,20.18,19.97,19.97,4957073
2013-01-30,20.04,20.15,19.75,19.79,7430797
2013-01-31,19.75,19.97,19.73,19.88,5794649
2013-02-01,20.00,20.24,19.93,20.24,8110554
2013-02-04,20.06,20.13,19.88,19.93,6707062
2013-02-05,19.97,20.18,19.88,20.11,7234413
2013-02-06,19.95,20.20,19.95,20.15,7452816
2013-02-07,20.11,20.18,19.95,20.02,6352768
2013-02-08,20.06,20.18,20.02,20.11,4447158
2013-02-11,20.02,20.09,19.93,19.95,3726728
2013-02-12,19.95,20.33,19.91,20.31,7230489
2013-02-13,20.36,20.47,20.31,20.47,8368788
2013-02-14,20.40,21.07,20.33,20.89,13835803
