Date,Open,High,Low,Close,Volume
2011-05-09,49.69,49.89,49.50,49.66,51188208
2011-05-10,49.84,49.96,49.52,49.92,70522032
2011-05-11,49.86,50.00,49.32,49.60,84018760
2011-05-12,49.45,49.59,48.90,49.51,80239688
2011-05-13,49.38,49.46,48.62,48.64,81548032
2011-05-16,48.46,48.75,47.51,47.61,112535472
2011-05-17,47.43,48.02,47.25,48.02,113196760
2011-05-18,48.07,48.72,48.00,48.55,83693344
2011-05-19,48.87,48.92,48.38,48.65,65291360
2011-05-20,48.51,48.71,47.86,47.89,84547776
2011-05-23,47.14,48.00,47.06,47.77,95627312
2011-05-24,47.93,47.99,47.33,47.46,80520720
2011-05-25,47.63,48.37,47.55,48.11,73555496
2011-05-26,48.00,48.13,47.78,47.86,55673820
2011-05-27,47.83,48.23,47.76,48.20,50912940
2011-05-31,48.73,49.69,48.71,49.69,104434224
2011-06-01,49.84,50.30,49.24,49.36,138670704
2011-06-02,49.50,49.71,49.19,49.44,84721200
2011-06-03,49.03,49.33,48.86,49.06,78360840
2011-06-06,49.39,49.58,48.26,48.29,115484808
2011-06-07,48.31,48.32,47.41,47.43,132493224
2011-06-08,47.40,47.83,47.24,47.46,83471664
2011-06-09,47.61,47.67,47.25,47.36,68841264
2011-06-10,47.22,47.38,46.50,46.56,108529504
2011-06-13,46.74,46.90,46.44,46.66,82414200
2011-06-14,47.14,47.61,47.04,47.49,83641992
2011-06-15,47.11,47.19,46.41,46.68,99851984
2011-06-16,46.70,46.95,45.48,46.45,127647424
2011-06-17,47.00,47.04,45.62,45.75,153872816
2011-06-20,45.34,45.39,44.36,45.05,160161392
2011-06-21,45.24,46.54,45.03,46.47,123343592
2011-06-22,46.45,46.99,46.05,46.09,97645536
2011-06-23,45.56,47.38,45.45,47.32,139939440
2011-06-24,47.34,47.59,46.44,46.62,109981432
2011-06-27,46.80,47.70,46.75,47.43,84990008
2011-06-28,47.66,48.10,47.63,47.89,73574968
2011-06-29,48.01,48.05,47.41,47.72,88179176
2011-06-30,47.81,48.02,47.55,47.95,80807480
2011-07-01,47.99,49.07,47.74,49.04,108828320
2011-07-05,49.00,49.98,48.93,49.92,88818712
2011-07-06,49.85,50.59,49.53,50.25,111156368
2011-07-07,50.67,51.14,50.57,51.03,99915416
2011-07-08,50.48,51.43,50.31,51.39,122481752
2011-07-11,50.91,51.40,50.40,50.57,110714080
2011-07-12,50.50,51.10,49.80,50.54,112901800
2011-07-13,51.19,51.43,50.91,51.15,97909616
2011-07-14,51.57,51.66,50.91,51.11,107633256
2011-07-15,51.60,52.14,51.31,52.13,121116472
2011-07-18,52.20,53.52,52.18,53.40,143157760
2011-07-19,54.00,54.09,53.33,53.84,204786496
2011-07-20,56.59,56.61,55.14,55.27,235331952
2011-07-21,55.28,55.72,54.84,55.33,131629136
2011-07-22,55.47,56.44,55.39,56.19,129182048
2011-07-25,55.76,57.14,55.66,56.93,147451280
2011-07-26,57.14,57.79,57.10,57.63,119145160
2011-07-27,57.23,57.52,56.02,56.08,164830672
2011-07-28,55.95,56.71,55.45,55.97,148506208
2011-07-29,55.38,56.45,54.86,55.78,158146064
2011-08-01,56.83,57.07,56.05,56.68,153208096
2011-08-02,56.81,56.84,55.48,55.56,159884864
2011-08-03,55.85,56.22,54.61,56.08,183126000
2011-08-04,55.63,55.90,53.91,53.91,217851648
2011-08-05,54.35,54.79,51.80,53.37,301140640
2011-08-08,51.67,52.54,50.43,50.46,285951520
2011-08-09,51.61,53.52,50.71,53.43,270645920
2011-08-10,53.02,53.52,51.79,51.96,219662576
2011-08-11,52.93,53.64,52.10,53.39,185491344
2011-08-12,54.01,54.23,53.46,53.86,132243576
2011-08-15,54.23,55.00,54.01,54.77,115135600
2011-08-16,54.50,54.77,53.72,54.35,124722208
2011-08-17,54.62,54.93,54.00,54.35,110515048
2011-08-18,52.98,53.24,51.62,52.29,212858560
2011-08-19,51.74,52.43,50.86,50.86,193970752
2011-08-22,52.07,52.13,50.73,50.92,133826360
2011-08-23,51.47,53.38,51.00,53.37,164208736
2011-08-24,53.35,54.14,52.94,53.74,156567088
2011-08-25,52.15,53.64,52.14,53.39,217825328
2011-08-26,53.02,54.83,52.97,54.80,160368928
2011-08-29,55.45,55.93,55.43,55.71,101313264
2011-08-30,55.46,55.98,55.17,55.71,104480384
2011-08-31,55.80,56.01,54.55,54.98,130689008
2011-09-01,55.12,55.33,54.39,54.43,85930800
2011-09-02,53.53,54.00,53.12,53.44,109791640
2011-09-06,52.48,54.33,52.35,54.25,127424208
2011-09-07,55.08,55.09,54.57,54.85,87643888
