Date,Open,High,Low,Close,Volume
5/2/2011,13.99,13.99,12.72,12.76,3608918
5/3/2011,12.77,13.19,12.43,12.84,1804436
5/4/2011,12.96,13.17,12.7,12.95,2188057
5/5/2011,12.91,13.5,12.83,13.23,2072593
5/6/2011,13.44,13.78,13.04,13.27,1837604
5/9/2011,13.21,13.4,13.02,13.29,683780
5/10/2011,13.35,13.59,13.17,13.29,745982
5/11/2011,13.27,13.32,12.61,12.96,1571542
5/12/2011,12.97,13.2,12.77,12.96,948478
5/13/2011,12.92,13.16,12.28,12.32,1044342
5/16/2011,12.27,12.56,12.01,12.04,747818
5/17/2011,12.13,12.48,11.91,12.15,2094490
5/18/2011,12.23,12.55,12.17,12.36,1361621
5/19/2011,12.36,12.73,11.55,11.91,1260845
5/20/2011,11.93,12.15,11.68,11.95,1610262
5/23/2011,11.76,11.93,11.34,11.69,1624805
5/24/2011,11.83,12.47,11.76,11.99,1693889
5/25/2011,11.99,12.33,11.86,12.09,926854
5/26/2011,12.09,13.31,12.05,13.09,1293434
5/27/2011,13.16,13.25,12.77,13.13,755411
5/31/2011,13.22,13.36,12.95,13.33,715995
6/1/2011,12.98,13.37,12.67,12.67,802510
6/2/2011,12.67,12.85,12.47,12.64,619094
6/3/2011,12.46,12.59,12.24,12.28,785310
6/6/2011,12.25,12.47,12.03,12.03,494526
6/7/2011,12.07,12.17,11.99,11.99,548368
6/8/2011,12,12.06,11.63,11.67,771068
6/9/2011,11.69,12.01,11.53,12.01,513940
6/10/2011,11.83,12.06,11.81,11.94,607090
6/13/2011,11.93,12.33,11.57,11.96,1036530
6/14/2011,12.11,12.36,11.94,12.07,629830
6/15/2011,11.91,12.13,11.81,11.95,501763
6/16/2011,11.95,12.21,11.72,11.97,396644
6/17/2011,12.08,12.19,11.69,11.85,897375
6/20/2011,11.79,12,11.73,11.96,361157
6/21/2011,12.04,12.59,12.01,12.56,499085
6/22/2011,12.5,12.69,12.43,12.44,306101
6/23/2011,12.19,12.87,11.91,12.83,433005
6/24/2011,12.83,12.93,12.35,12.48,881434
6/27/2011,12.59,12.59,12.03,12.06,715143
6/28/2011,12.17,12.67,12.11,12.64,555166
6/29/2011,12.71,12.8,12.5,12.71,247956
6/30/2011,12.77,13.19,12.73,13.14,470904
7/1/2011,13.16,13.57,13,13.52,462108
7/5/2011,13.5,14.17,13.4,14.12,593997
7/6/2011,14.12,14.12,13.92,14.07,414020
7/7/2011,14.16,14.89,14.1,14.88,777242
7/8/2011,14.59,14.96,14.51,14.89,628619
7/11/2011,14.87,15.05,14.52,14.71,608455
7/12/2011,14.64,15.2,14.63,15,589614
7/13/2011,15.13,15.77,15.07,15.66,953963
7/14/2011,15.68,15.98,15.53,15.62,792825
7/15/2011,15.81,15.82,15.52,15.79,535921
7/18/2011,15.69,15.77,15.41,15.65,520090
7/19/2011,15.83,17.27,15.78,17.07,1242230
7/20/2011,17.56,17.56,16.25,16.99,1057157
7/21/2011,17.14,17.98,16.82,17.81,1713405
7/22/2011,17.89,18.19,17.8,17.91,658802
7/25/2011,17.68,17.9,17.39,17.46,587950
7/26/2011,17.43,17.49,16.87,16.97,727968
7/27/2011,16.87,16.87,14.67,14.67,2439574
7/28/2011,14.41,15.26,13.94,15.03,2358246
7/29/2011,14.67,14.93,14.19,14.27,792236
8/1/2011,14.67,14.83,13.53,13.95,835693
8/2/2011,14.09,14.09,13.35,13.36,949711
8/3/2011,13.59,13.59,12.75,13.46,1022076
8/4/2011,13.23,13.32,12.17,12.34,1606584
8/5/2011,12.51,12.63,11.44,11.49,1614164
8/8/2011,10.89,11.33,10.39,10.39,2047335
8/9/2011,10.41,11.49,10.2,11.47,1325073
8/10/2011,11.21,11.21,10.54,10.57,925187
8/11/2011,11.1,12,10.64,11.6,1011918
8/12/2011,12.41,12.41,11.53,12,645641
8/15/2011,12.26,12.99,12.26,12.73,946505
8/16/2011,12.67,12.67,11.87,11.97,942140
8/17/2011,12.07,12.25,11.37,11.6,743318
8/18/2011,11.15,11.15,10.29,10.63,1223147
8/19/2011,10.41,10.77,10.05,10.14,974380
8/22/2011,10.55,10.61,9.89,10.12,1031363
8/23/2011,10.21,11.31,10.04,11.28,989486
8/24/2011,11.28,11.58,11.05,11.31,686168
8/25/2011,11.59,11.68,10.82,10.85,713307
8/26/2011,10.85,11.47,10.42,11.47,779324
8/29/2011,11.76,12.15,11.64,12.07,396751
8/30/2011,12.03,12.55,11.72,12.39,719552
8/31/2011,12.54,12.73,11.8,12.11,840198
9/1/2011,12.13,12.32,11.48,11.5,546898
9/2/2011,11.05,11.37,10.77,10.83,889210
9/6/2011,10.51,10.69,10.29,10.64,707091
9/7/2011,10.98,12.05,10.9,11.81,1169259
9/8/2011,11.67,11.97,11.36,11.45,627718
9/9/2011,11.35,11.47,10.67,10.8,588408
9/12/2011,10.61,10.94,10.37,10.91,819273
9/13/2011,10.98,11.39,10.91,11.25,537570
9/14/2011,11.45,11.91,11.08,11.47,524527
9/15/2011,11.61,11.79,11.53,11.77,425631
9/16/2011,11.77,11.8,10.91,11.05,920383
9/19/2011,10.88,11.23,10.63,11.05,539058
9/20/2011,10.71,11.31,10.63,10.65,514078
9/21/2011,10.67,10.85,10.07,10.09,541140
9/22/2011,9.82,9.99,9.11,9.48,1211654
9/23/2011,9.45,10.05,9.28,9.87,696202
9/26/2011,10.19,10.57,9.74,10.5,743414
9/27/2011,10.88,11.07,10.57,10.77,793833
9/28/2011,10.74,10.87,9.85,9.85,974122
9/29/2011,10.23,10.25,9.33,9.67,624182
9/30/2011,9.49,9.65,9.3,9.33,571942
10/3/2011,9.26,9.51,8.91,9,982669
10/4/2011,8.83,10.05,8.52,9.95,949340
10/5/2011,9.95,10.67,9.55,10.49,751106
10/6/2011,10.44,10.82,10.21,10.8,642656
10/7/2011,10.94,11.03,10.28,10.3,731981
10/10/2011,10.61,11.16,10.59,11.15,503208
10/11/2011,10.99,11.63,10.87,11.39,562195
10/12/2011,11.58,11.85,11.42,11.77,637474
10/13/2011,11.59,11.67,10.9,11.22,641953
