Date,Open,High,Low,Close,Volume
9/20/2011,18.28,18.54,17.4,17.48,307277
9/21/2011,17.61,18.62,17.52,17.59,704266
9/22/2011,16.79,17.2,15.79,16.1,552909
9/23/2011,15.91,16.51,15.91,16.16,448296
9/26/2011,16.41,16.49,15.79,16.45,439099
9/27/2011,16.75,17.03,16.14,16.36,548039
9/28/2011,16.35,16.44,15.48,15.74,637439
9/29/2011,16.19,16.33,15.55,16.22,259508
9/30/2011,15.87,16.09,15.27,15.3,275979
10/3/2011,15.19,15.51,14.15,14.27,455006
10/4/2011,14.02,15.99,14,15.82,513981
10/5/2011,15.37,16.18,15.27,15.99,377951
10/6/2011,15.88,16.86,15.81,16.27,418125
10/7/2011,16.41,16.55,15.59,15.97,294740
10/10/2011,16.4,16.71,15.92,16.31,346041
10/11/2011,16.08,17.2,16.06,17.1,367496
10/12/2011,17.25,17.7,17.17,17.46,534943
10/13/2011,17.29,17.74,16.97,17.65,294746
10/14/2011,17.88,17.98,17.22,17.64,166560
10/17/2011,17.4,17.55,16.88,17.12,304124
10/18/2011,17.16,17.85,16.76,17.22,364953
10/19/2011,17.05,17.23,16.25,16.77,501697
10/20/2011,16.8,17.67,16.5,17.56,594157
10/21/2011,17.98,18.34,17.69,18.29,370282
10/24/2011,18.39,19.16,18.25,18.86,353272
10/25/2011,18.57,18.76,18.07,18.2,467695
10/26/2011,18.6,18.6,17.7,18.37,274491
10/27/2011,19.06,20.5,18.94,20.11,714152
10/28/2011,20.16,20.95,19.95,20.2,524927
10/31/2011,19.79,20.08,19.43,19.43,208460
11/1/2011,18.34,19.18,18.2,18.79,320873
11/2/2011,19.17,19.91,19.06,19.63,310907
11/3/2011,20,20.42,19.35,20.33,265718
11/4/2011,19.36,19.58,18.8,19.49,664657
11/7/2011,19.47,19.7,18.92,19.54,384165
11/8/2011,19.78,19.86,18.99,19.49,379438
11/9/2011,18.76,19.02,18.5,18.56,388853
11/10/2011,18.92,19.03,18.29,18.64,203388
11/11/2011,18.9,19.88,18.9,19.68,305575
11/14/2011,19.53,19.9,19.35,19.83,258767
11/15/2011,19.76,20.52,19.64,20.26,340170
11/16/2011,19.99,20.75,19.85,20.12,446203
11/17/2011,20.06,20.48,19.83,20.14,597536
11/18/2011,20.27,20.42,19.45,19.54,476072
11/21/2011,19.05,19.77,18.72,19.27,917177
11/22/2011,18.69,20.15,17.42,18.87,1500703
11/23/2011,18.7,18.71,17.85,18.31,553629
11/25/2011,18.29,18.45,17.84,17.86,235178
11/28/2011,18.52,19.18,18.52,19.08,682667
11/29/2011,19.14,19.14,18.62,18.72,515632
11/30/2011,19.74,20.11,19.46,20.05,624138
12/1/2011,20,20.27,19.66,19.89,374063
12/2/2011,20.19,20.19,19.52,19.85,622554
12/5/2011,20.21,20.69,20.05,20.54,809639
12/6/2011,20.51,20.67,20.14,20.51,456599
12/7/2011,20.3,20.8,20,20.54,346242
12/8/2011,20.27,20.49,19.76,20.15,492318
12/9/2011,20.13,20.77,19.92,20.62,349486
12/12/2011,20.35,20.35,19.83,20.27,419841
12/13/2011,20.52,20.52,19.63,19.75,417836
12/14/2011,19.49,20.04,19.39,19.75,700837
12/15/2011,20,20.04,19.46,19.56,387331
12/16/2011,19.68,20.41,19.66,20.01,542817
12/19/2011,20.16,20.34,18.85,18.9,385150
12/20/2011,19.5,20.2,19.5,20.16,417459
12/21/2011,20.11,20.31,19.54,20.03,222273
12/22/2011,20.24,21.51,19.91,21.44,652332
12/23/2011,21.42,21.49,20.92,21.03,245758
12/27/2011,20.96,21.29,20.86,21.13,192910
12/28/2011,21.16,21.16,20.6,20.84,231081
12/29/2011,20.9,21.29,20.78,21.04,307058
12/30/2011,21.06,21.39,20.92,20.92,180534
1/3/2012,21.4,21.85,21.2,21.71,317499
1/4/2012,21.48,21.62,20.9,20.92,390803
1/5/2012,20.75,21.22,20.38,20.99,295162
1/6/2012,21,21.27,20.69,20.99,146075
1/9/2012,21.12,21.24,20.66,21.15,226549
1/10/2012,21.49,21.83,21.38,21.72,242640
1/11/2012,21.6,21.95,21.51,21.83,234310
1/12/2012,22.06,22.72,21.71,21.83,637448
1/13/2012,21.68,21.72,21.11,21.25,305887
1/17/2012,21.43,21.43,20.96,21.08,293848
1/18/2012,21.08,21.42,20.98,21.24,287257
1/19/2012,21.27,21.74,21.18,21.44,233590
1/20/2012,21.41,21.44,20.9,21.33,218966
1/23/2012,21.4,21.62,21,21.16,148737
1/24/2012,20.93,21.45,20.61,21.39,254997
1/25/2012,21.3,21.6,21.09,21.33,219689
1/26/2012,21.43,21.61,21.25,21.49,270241
1/27/2012,21.44,22.27,21.28,22.18,201531
