Date,Open,High,Low,Close,Volume
8/24/1976,5.98,6.07,5.98,6.04,271342
8/25/1976,6.04,6.24,6.04,6.22,454938
8/26/1976,6.22,6.26,6.15,6.15,138368
8/27/1976,6.11,6.11,6.09,6.09,131618
8/30/1976,6.09,6.11,6.06,6.09,78293
8/31/1976,6.09,6.13,6.09,6.11,89768
9/1/1976,6.11,6.17,6.09,6.17,45218
9/2/1976,6.2,6.26,6.2,6.22,64118
9/3/1976,6.28,6.37,6.28,6.33,193718
9/7/1976,6.33,6.37,6.33,6.37,56018
9/8/1976,6.37,6.46,6.35,6.46,139043
9/9/1976,6.37,6.37,6.22,6.22,98543
9/10/1976,6.22,6.3,6.2,6.22,49268
9/13/1976,6.22,6.24,6,6.02,104618
9/14/1976,6.02,6.06,5.91,6.06,126893
9/15/1976,6.06,6.07,5.98,6.04,89768
9/16/1976,6.04,6.11,6,6.11,175493
9/17/1976,6.2,6.28,6.2,6.2,93818
9/20/1976,6.2,6.2,6.07,6.13,157268
9/21/1976,6.13,6.15,6.04,6.15,592638
9/22/1976,6.15,6.19,6.07,6.07,53993
9/23/1976,6.07,6.11,6.04,6.07,99218
9/24/1976,6.07,6.07,6,6,36443
9/27/1976,5.98,5.98,5.93,5.94,89768
9/28/1976,5.91,5.91,5.76,5.83,104618
9/29/1976,5.8,5.8,5.72,5.78,114743
9/30/1976,5.78,5.85,5.78,5.81,70868
10/1/1976,5.81,5.83,5.78,5.78,74243
10/4/1976,5.78,5.8,5.67,5.78,70193
10/5/1976,5.78,5.83,5.74,5.74,35768
10/6/1976,5.74,5.78,5.7,5.76,60743
10/7/1976,5.76,5.8,5.72,5.8,39818
10/8/1976,5.8,5.8,5.74,5.78,27668
10/11/1976,5.74,5.74,5.7,5.7,26318
10/12/1976,5.7,5.72,5.65,5.69,73568
10/13/1976,5.69,5.74,5.67,5.74,80993
10/14/1976,5.72,5.72,5.67,5.7,29693
10/15/1976,5.7,5.89,5.69,5.87,117443
10/18/1976,5.91,5.98,5.91,5.96,68843
10/19/1976,5.96,6.06,5.93,6.06,41168
10/20/1976,6.06,6.11,6.06,6.09,53993
10/21/1976,6.09,6.22,6.07,6.11,93143
10/22/1976,6.04,6.04,5.91,5.91,77618
10/25/1976,5.91,5.91,5.83,5.91,71543
10/26/1976,5.91,5.93,5.87,5.89,39143
10/27/1976,5.89,5.91,5.81,5.87,36443
10/28/1976,5.85,5.85,5.7,5.72,44543
10/29/1976,5.72,5.76,5.54,5.69,245017
11/1/1976,5.69,5.78,5.65,5.72,53993
11/3/1976,5.69,5.69,5.57,5.61,104618
11/4/1976,5.59,5.59,5.5,5.56,78293
11/5/1976,5.56,5.56,5.48,5.52,60068
11/8/1976,5.52,5.52,5.37,5.41,53993
11/9/1976,5.39,5.39,5.22,5.37,137693
11/10/1976,5.37,5.43,5.35,5.39,60743
11/11/1976,5.39,5.44,5.31,5.44,40493
11/12/1976,5.44,5.5,5.37,5.41,83018
11/15/1976,5.41,5.48,5.41,5.46,132968
11/16/1976,5.46,5.5,5.41,5.46,78293
11/17/1976,5.46,5.5,5.43,5.46,48593
11/18/1976,5.46,5.52,5.46,5.52,45218
11/19/1976,5.52,5.57,5.52,5.56,103943
11/22/1976,5.56,5.57,5.46,5.57,51293
11/23/1976,5.57,5.59,5.48,5.52,58043
11/24/1976,5.52,5.57,5.52,5.57,34418
11/26/1976,5.57,5.57,5.54,5.54,29693
