Date,Open,High,Low,Close,Volume
11/21/1983,5.14,5.18,5.08,5.14,3910836
11/22/1983,5.14,5.14,5.09,5.09,2934028
11/23/1983,5.09,5.1,5.05,5.07,1618816
11/25/1983,5.07,5.1,5.07,5.08,3380432
11/28/1983,5.08,5.09,5.03,5.03,4315240
11/29/1983,5.02,5.02,4.95,4.95,2295620
11/30/1983,4.95,4.97,4.91,4.92,3908436
12/1/1983,4.93,4.98,4.93,4.97,9553292
12/2/1983,4.97,4.97,4.94,4.95,1928416
12/5/1983,4.95,4.96,4.93,4.93,1501212
12/6/1983,4.93,4.94,4.91,4.91,2966428
12/7/1983,4.91,4.93,4.85,4.89,6301260
12/8/1983,4.89,4.91,4.87,4.89,6476464
12/9/1983,4.89,4.89,4.84,4.85,6897668
12/12/1983,4.85,4.87,4.85,4.86,3379232
12/13/1983,4.86,4.93,4.85,4.91,7300872
12/14/1983,4.91,4.98,4.91,4.92,4986048
12/15/1983,4.92,4.93,4.87,4.89,3711636
12/16/1983,4.89,4.92,4.85,4.89,3331232
12/19/1983,4.89,4.9,4.87,4.89,3752436
12/20/1983,4.89,4.91,4.87,4.91,2410824
12/21/1983,4.91,4.92,4.87,4.92,7482072
12/22/1983,4.92,4.93,4.89,4.89,7561272
12/23/1983,4.89,4.9,4.85,4.9,3861636
12/27/1983,4.9,4.9,4.86,4.89,2546424
12/28/1983,4.89,4.94,4.89,4.94,5358052
12/29/1983,4.94,4.94,4.92,4.93,4488044
12/30/1983,4.93,4.96,4.91,4.91,2923228
1/3/1984,4.92,5.09,4.92,5.08,2491224
1/4/1984,5.14,5.37,5.14,5.33,6492064
1/5/1984,5.33,5.43,5.29,5.31,4051240
1/6/1984,5.31,5.33,5.18,5.19,4563644
1/9/1984,5.19,5.2,5.14,5.17,3231632
1/10/1984,5.17,5.19,5.14,5.17,3289232
1/11/1984,5.18,5.24,5.18,5.2,4245640
1/12/1984,5.2,5.23,5.18,5.21,2680824
1/13/1984,5.21,5.29,5.21,5.29,4046440
1/16/1984,5.29,5.45,5.25,5.4,3388832
1/17/1984,5.4,5.42,5.36,5.42,2637624
1/18/1984,5.42,5.5,5.42,5.49,4465244
1/19/1984,5.49,5.5,5.43,5.43,3014428
1/20/1984,5.43,5.44,5.39,5.43,2479224
1/23/1984,5.43,5.44,5.4,5.42,1770016
1/24/1984,5.42,5.46,5.4,5.4,2148020
1/25/1984,5.4,5.41,5.3,5.31,1590012
1/26/1984,5.29,5.29,5.2,5.21,3070828
1/27/1984,5.21,5.23,5.15,5.2,4377640
1/30/1984,5.2,5.3,5.19,5.28,4933248
1/31/1984,5.28,5.3,5.24,5.24,2198420
2/1/1984,5.24,5.27,5.21,5.21,1904416
2/2/1984,5.21,5.22,5.18,5.18,4267240
2/3/1984,5.18,5.21,5.17,5.19,3247232
2/6/1984,5.19,5.19,5.14,5.14,2737224
2/7/1984,5.14,5.21,5.07,5.11,3242432
2/8/1984,5.11,5.15,5.08,5.09,2004020
2/9/1984,5.07,5.07,5,5,2665224
2/10/1984,5,5.01,4.96,4.98,2204420
2/13/1984,4.98,5.09,4.98,5.08,3345632
2/14/1984,5.08,5.19,5.07,5.11,3244832
2/15/1984,5.11,5.14,5.06,5.09,4076440
2/16/1984,5.09,5.11,5,5.07,3710436
2/17/1984,5.07,5.08,5.03,5.04,1302012
2/21/1984,5.04,5.06,5.02,5.04,3312032
2/22/1984,5.04,5.1,5.03,5.06,3346832
2/23/1984,5.04,5.04,4.97,4.99,5638856
2/24/1984,4.99,5.01,4.92,4.96,5305252
2/27/1984,4.96,5.01,4.95,4.98,3411632
2/28/1984,4.98,4.99,4.94,4.94,1876816
2/29/1984,4.94,5.01,4.92,5.01,4678844
3/1/1984,5.01,5.1,5,5.1,3324032
3/2/1984,5.1,5.11,5.04,5.06,2580024
3/5/1984,5.05,5.05,5.01,5.02,1556412
3/6/1984,5.02,5.02,4.98,5,2224820
3/7/1984,4.99,4.99,4.92,4.94,2346020
3/8/1984,4.94,5,4.92,5,2277620
3/9/1984,4.99,4.99,4.93,4.97,1920016
3/12/1984,4.97,4.99,4.93,4.94,2688024
3/13/1984,4.94,4.97,4.92,4.96,3648036
3/14/1984,4.96,4.98,4.91,4.97,3463232
3/15/1984,4.97,5.01,4.95,4.96,3889236
3/16/1984,4.96,4.99,4.89,4.9,3477632
3/19/1984,4.9,4.91,4.84,4.9,2739624
3/20/1984,4.9,4.9,4.84,4.86,6548464
3/21/1984,4.86,4.89,4.85,4.89,3799236
3/22/1984,4.89,4.91,4.83,4.84,8347280
3/23/1984,4.84,4.89,4.78,4.89,4560044
3/26/1984,4.89,4.9,4.73,4.77,3309632
3/27/1984,4.77,4.81,4.76,4.77,4227640
3/28/1984,4.77,4.8,4.77,4.78,2638824
3/29/1984,4.78,4.82,4.78,4.79,1622416
3/30/1984,4.79,4.8,4.77,4.77,4440044
4/2/1984,4.77,4.79,4.7,4.71,4334440
4/3/1984,4.71,4.73,4.62,4.67,4257640
4/4/1984,4.67,4.72,4.67,4.67,4326040
4/5/1984,4.67,4.69,4.62,4.64,2527224
4/6/1984,4.64,4.65,4.62,4.64,1822816
4/9/1984,4.64,4.66,4.62,4.62,1861216
4/10/1984,4.62,4.67,4.62,4.62,3592832
4/11/1984,4.62,4.67,4.62,4.62,2761224
4/12/1984,4.62,4.71,4.62,4.69,3166828
4/13/1984,4.69,4.7,4.65,4.67,4197640
4/16/1984,4.67,4.68,4.65,4.67,2085620
4/17/1984,4.68,4.71,4.68,4.69,2576424
4/18/1984,4.69,4.75,4.69,4.69,3544832
4/19/1984,4.69,4.74,4.69,4.71,2980828
4/23/1984,4.71,4.75,4.7,4.74,1884016
4/24/1984,4.77,4.86,4.77,4.85,3385232
4/25/1984,4.87,4.92,4.87,4.91,2996428
4/26/1984,4.91,4.96,4.91,4.94,2436024
4/27/1984,4.93,4.93,4.9,4.92,1627216
4/30/1984,4.92,4.98,4.91,4.96,2308820
5/1/1984,4.97,5.04,4.97,5.01,3415232
5/2/1984,4.92,4.92,4.84,4.89,10460504
5/3/1984,4.9,4.96,4.9,4.93,4290040
5/4/1984,4.93,4.95,4.92,4.92,3362432
5/7/1984,4.92,4.93,4.9,4.91,3511232
5/8/1984,4.91,4.93,4.86,4.9,1801216
5/9/1984,4.9,4.94,4.9,4.91,1840816
5/10/1984,4.91,4.92,4.87,4.87,3462032
5/11/1984,4.86,4.86,4.81,4.81,2439624
5/14/1984,4.8,4.8,4.72,4.72,2594424
5/15/1984,4.72,4.72,4.69,4.71,2156420
5/16/1984,4.71,4.73,4.69,4.7,2817628
5/17/1984,4.7,4.72,4.67,4.67,1989616
5/18/1984,4.67,4.68,4.62,4.66,1236012
5/21/1984,4.66,4.68,4.62,4.65,1215612
5/22/1984,4.65,4.66,4.6,4.64,2030420
5/23/1984,4.65,4.71,4.65,4.7,1275612
5/24/1984,4.7,4.7,4.67,4.67,2202020
5/25/1984,4.67,4.7,4.64,4.64,1608016
