Date,Open,High,Low,Close,Volume
1976-08-24,3.20,3.22,3.16,3.16,1996800
1976-08-25,3.16,3.22,3.13,3.22,2288000
1976-08-26,3.22,3.26,3.21,3.21,1808000
1976-08-27,3.21,3.23,3.18,3.21,2225600
1976-08-30,3.22,3.27,3.22,3.27,894400
1976-08-31,3.27,3.31,3.27,3.30,1816000
1976-09-01,3.30,3.34,3.27,3.30,5078400
1976-09-02,3.30,3.34,3.27,3.31,2907200
1976-09-03,3.31,3.33,3.30,3.32,1176000
1976-09-07,3.32,3.35,3.31,3.34,1620800
1976-09-08,3.34,3.39,3.34,3.38,2867200
1976-09-09,3.37,3.37,3.31,3.34,1886400
1976-09-10,3.34,3.35,3.30,3.34,2865600
1976-09-13,3.34,3.41,3.34,3.37,1950400
1976-09-14,3.37,3.41,3.34,3.38,1612800
1976-09-15,3.38,3.41,3.35,3.41,1278400
1976-09-16,3.41,3.46,3.38,3.38,2891200
1976-09-17,3.45,3.50,3.45,3.49,3473600
1976-09-20,3.49,3.52,3.47,3.48,2979200
1976-09-21,3.48,3.55,3.48,3.55,4129600
1976-09-22,3.55,3.55,3.50,3.51,3131200
1976-09-23,3.51,3.54,3.49,3.51,3832000
1976-09-24,3.51,3.51,3.47,3.48,2004800
1976-09-27,3.48,3.52,3.48,3.50,1779200
1976-09-28,3.50,3.53,3.45,3.45,1942400
1976-09-29,3.45,3.51,3.45,3.49,2273600
1976-09-30,3.49,3.50,3.47,3.47,1491200
1976-10-01,3.47,3.49,3.41,3.44,1924800
1976-10-04,3.44,3.47,3.41,3.45,1203200
1976-10-05,3.45,3.46,3.41,3.44,1936000
1976-10-06,3.44,3.44,3.38,3.41,3033600
1976-10-07,3.41,3.44,3.38,3.44,3249600
1976-10-08,3.44,3.44,3.37,3.38,2531200
1976-10-11,3.38,3.38,3.32,3.33,1099200
1976-10-12,3.33,3.34,3.29,3.30,1675200
1976-10-13,3.30,3.38,3.28,3.37,2196800
1976-10-14,3.37,3.38,3.30,3.34,2044800
1976-10-15,3.34,3.35,3.30,3.31,4116800
1976-10-18,3.32,3.37,3.32,3.34,1467200
1976-10-19,3.34,3.36,3.31,3.34,1995200
1976-10-20,3.34,3.36,3.31,3.34,1483200
1976-10-21,3.34,3.35,3.28,3.28,2232000
1976-10-22,3.28,3.32,3.17,3.22,2587200
1976-10-25,3.22,3.22,3.16,3.20,2019200
1976-10-26,3.20,3.27,3.20,3.24,1880000
1976-10-27,3.24,3.27,3.24,3.26,1779200
1976-10-28,3.26,3.29,3.26,3.27,1600000
1976-10-29,3.27,3.30,3.25,3.28,4464000
1976-11-01,3.28,3.32,3.27,3.32,2886400
1976-11-03,3.30,3.30,3.21,3.25,4070400
1976-11-04,3.25,3.29,3.22,3.25,2788800
1976-11-05,3.23,3.23,3.10,3.11,2817600
1976-11-08,3.10,3.10,3.04,3.05,2473600
1976-11-09,3.05,3.07,2.98,3.02,3984000
1976-11-10,3.02,3.05,2.95,2.98,3100800
1976-11-11,2.98,3.05,2.98,3.05,2201600
1976-11-12,3.05,3.05,2.98,3.03,2419200
1976-11-15,3.03,3.07,3.01,3.07,1929600
1976-11-16,3.08,3.15,3.08,3.11,4036800
1976-11-17,3.11,3.16,3.11,3.14,2240000
1976-11-18,3.14,3.17,3.13,3.16,2259200
1976-11-19,3.16,3.19,3.13,3.14,1961600
1976-11-22,3.14,3.17,3.13,3.17,1894400
1976-11-23,3.17,3.17,3.13,3.13,2073600
1976-11-24,3.13,3.21,3.13,3.20,3576000
1976-11-26,3.20,3.25,3.20,3.23,1670400
1976-11-29,3.23,3.23,3.18,3.19,1771200
1976-11-30,3.19,3.21,3.16,3.20,1268800
1976-12-01,3.20,3.27,3.18,3.23,1443200
1976-12-02,3.23,3.27,3.18,3.18,3180800
1976-12-03,3.18,3.21,3.16,3.20,2065600
1976-12-06,3.20,3.24,3.20,3.20,2188800
1976-12-07,3.20,3.21,3.18,3.20,3176000
1976-12-08,3.20,3.23,3.19,3.22,2566400
1976-12-09,3.23,3.26,3.23,3.25,4617600
1976-12-10,3.25,3.30,3.25,3.29,3201600
1976-12-13,3.29,3.32,3.28,3.30,3561600
1976-12-14,3.30,3.31,3.28,3.30,2571200
1976-12-15,3.30,3.31,3.27,3.27,2628800
1976-12-16,3.27,3.30,3.25,3.28,2662400
1976-12-17,3.28,3.30,3.27,3.28,3139200
1976-12-20,3.28,3.29,3.22,3.23,3473600
1976-12-21,3.23,3.25,3.20,3.24,2860800
1976-12-22,3.24,3.26,3.22,3.23,2166400
1976-12-23,3.23,3.27,3.22,3.23,3811200
1976-12-27,3.23,3.30,3.23,3.30,3633600
1976-12-28,3.30,3.35,3.30,3.34,2416000
1976-12-29,3.34,3.35,3.30,3.31,1651200
1976-12-30,3.31,3.35,3.31,3.34,1313600
1976-12-31,3.34,3.36,3.32,3.35,985600
1977-01-03,3.35,3.38,3.34,3.35,2168000
1977-01-04,3.35,3.38,3.28,3.30,1606400
1977-01-05,3.30,3.37,3.28,3.29,1430400
1977-01-06,3.29,3.37,3.28,3.30,2126400
1977-01-07,3.30,3.31,3.27,3.30,2707200
1977-01-10,3.30,3.35,3.30,3.33,2297600
1977-01-11,3.33,3.35,3.30,3.31,2340800
1977-01-12,3.31,3.31,3.27,3.29,3732800
1977-01-13,3.29,3.31,3.29,3.30,2276800
1977-01-14,3.30,3.30,3.26,3.29,3102400
1977-01-17,3.28,3.28,3.25,3.26,2334400
1977-01-18,3.26,3.27,3.25,3.26,1716800
1977-01-19,3.26,3.28,3.23,3.27,2534400
1977-01-20,3.27,3.29,3.23,3.26,2712000
1977-01-21,3.26,3.27,3.21,3.23,3480000
1977-01-24,3.23,3.27,3.22,3.27,2281600
1977-01-25,3.28,3.34,3.28,3.32,2707200
1977-01-26,3.32,3.34,3.31,3.32,1569600
1977-01-27,3.32,3.36,3.30,3.32,2929600
1977-01-28,3.32,3.34,3.30,3.34,2896000
1977-01-31,3.34,3.35,3.32,3.34,2848000
1977-02-01,3.34,3.41,3.34,3.39,2633600
1977-02-02,3.41,3.45,3.41,3.42,3579200
1977-02-03,3.42,3.44,3.38,3.38,2350400
1977-02-04,3.35,3.35,3.31,3.31,2788800
1977-02-07,3.32,3.37,3.32,3.34,2430400
1977-02-08,3.34,3.36,3.31,3.33,3465600
1977-02-09,3.31,3.31,3.26,3.27,2787200
1977-02-10,3.27,3.27,3.23,3.24,2089600
1977-02-11,3.24,3.26,3.21,3.23,1889600
1977-02-14,3.23,3.28,3.23,3.27,2038400
1977-02-15,3.27,3.27,3.25,3.27,3377600
1977-02-16,3.27,3.29,3.25,3.25,4060800
1977-02-17,3.25,3.26,3.20,3.21,2283200
1977-02-18,3.21,3.23,3.13,3.13,4089600
1977-02-22,3.13,3.16,3.13,3.15,1766400
1977-02-23,3.15,3.17,3.15,3.16,1462400
1977-02-24,3.16,3.17,3.14,3.16,1491200
1977-02-25,3.16,3.18,3.14,3.16,1524800
1977-02-28,3.16,3.18,3.15,3.18,1704000
1977-03-01,3.18,3.25,3.17,3.25,2452800
1977-03-02,3.25,3.27,3.23,3.26,1971200
1977-03-03,3.26,3.27,3.24,3.26,2185600
1977-03-04,3.26,3.27,3.23,3.27,2230400
1977-03-07,3.27,3.27,3.25,3.26,2257600
1977-03-08,3.26,3.28,3.20,3.25,2014400
1977-03-09,3.24,3.24,3.22,3.23,2510400
1977-03-10,3.23,3.27,3.21,3.27,3180800
1977-03-11,3.27,3.29,3.26,3.27,2432000
1977-03-14,3.27,3.28,3.25,3.28,1832000
1977-03-15,3.28,3.32,3.27,3.27,2419200
1977-03-16,3.27,3.28,3.24,3.25,1790400
1977-03-17,3.25,3.25,3.21,3.23,1443200
1977-03-18,3.23,3.23,3.20,3.20,1291200
1977-03-21,3.20,3.22,3.19,3.20,1310400
1977-03-22,3.20,3.20,3.13,3.20,2104000
1977-03-23,3.16,3.16,3.10,3.11,2601600
1977-03-24,3.11,3.14,3.11,3.13,3246400
1977-03-25,3.13,3.15,3.13,3.13,1668800
1977-03-28,3.13,3.16,3.12,3.15,3235200
1977-03-29,3.16,3.20,3.16,3.20,2243200
1977-03-30,3.20,3.20,3.15,3.16,2196800
1977-03-31,3.16,3.19,3.13,3.17,1188800
1977-04-01,3.17,3.19,3.17,3.19,1272000
1977-04-04,3.19,3.19,3.16,3.16,1308800
1977-04-05,3.16,3.17,3.14,3.16,1931200
1977-04-06,3.16,3.17,3.15,3.15,1217600
1977-04-07,3.15,3.17,3.13,3.17,1843200
1977-04-11,3.17,3.21,3.16,3.21,2857600
1977-04-12,3.21,3.28,3.13,3.25,2572800
1977-04-13,3.25,3.27,3.23,3.23,2102400
1977-04-14,3.26,3.31,3.26,3.28,2118400
1977-04-15,3.28,3.32,3.26,3.29,3169600
1977-04-18,3.29,3.30,3.27,3.28,1793600
1977-04-19,3.28,3.29,3.26,3.27,4412800
1977-04-20,3.27,3.29,3.23,3.27,3409600
1977-04-21,3.27,3.30,3.27,3.27,2012800
1977-04-22,3.27,3.27,3.23,3.24,1624000
1977-04-25,3.23,3.23,3.16,3.18,1830400
1977-04-26,3.18,3.21,3.18,3.20,1872000
1977-04-27,3.20,3.24,3.20,3.22,1532800
1977-04-28,3.22,3.25,3.22,3.23,1740800
1977-04-29,3.23,3.24,3.20,3.23,1291200
1977-05-02,3.23,3.27,3.22,3.27,1737600
